#doc source pos typeindex type topic
0 NA 0 0 Helt 3
0 NA 1 1 år 3
0 NA 2 2 jtr. 3
0 NA 3 3 is; 3
0 NA 4 4 x«. 3
0 NA 5 5 — 35
0 NA 6 6 g- 3
0 NA 7 7 5- 3
0 NA 8 8 Haiti 42
0 NA 9 1 år 3
0 NA 10 9 » 3
0 NA 11 10 6: 3
0 NA 12 11 50 42
0 NA 13 9 » 3
0 NA 14 12 7: 3
0 NA 15 13 00 3
0 NA 16 9 » 3
0 NA 17 14 8* 3
0 NA 18 15 25 3
0 NA 19 16 Fjärdedels 3
0 NA 20 1 år 3
0 NA 21 9 » 3
0 NA 22 17 3: 3
0 NA 23 15 25 3
0 NA 24 9 » 3
0 NA 25 18 8: 3
0 NA 26 19 75 3
0 NA 27 9 » 3
0 NA 28 20 Is 3
0 NA 29 19 75 3
0 NA 30 21 En 42
0 NA 31 22 månad 3
0 NA 32 23 ...» 3
0 NA 33 20 Is 3
0 NA 34 24 10 3
0 NA 35 25 ls 3
0 NA 36 26 40 3
0 NA 37 9 » 3
0 NA 38 27 Os 3
0 NA 39 28 65 42
1 NA 0 29 OTTO 3
1 NA 1 30 v, 3
1 NA 2 31 ZWEIGBERGK, 35
1 NA 3 32 UTGIFVARE 44
1 NA 4 33 OCH 3
1 NA 5 34 REDAKTÖR. 1
1 NA 6 35 Träffas 1
1 NA 7 36 säkrast 28
1 NA 8 37 kl. 20
1 NA 9 38 1—2. 13
2 NA 0 39 I 11
2 NA 1 40 UiE\S 32
2 NA 2 41 \ 3
2 NA 3 42 V 45
2 NA 4 43 HETER. 0
3 NA 0 44 Dagens 34
3 NA 1 45 Nyheter 34
3 NA 2 46 utgifves 1
3 NA 3 47 dag 1
3 NA 4 48 två 1
3 NA 5 49 nummer 43
3 NA 6 50 (A 34
3 NA 7 51 och 1
3 NA 8 52 B). 3
4 NA 0 53 A-numret 48
4 NA 1 54 inneli. 10
4 NA 2 55 följande 3
4 NA 3 56 annonsrubriker: 10
4 NA 4 57 Diverse 10
4 NA 5 58 annonser 3
4 NA 6 59 för© 10
4 NA 7 60 texten, 10
4 NA 8 61 Offentliga 3
4 NA 9 62 nöjen, 26
4 NA 10 63 Sammanträden, 3
4 NA 11 64 Förloradt, 10
4 NA 12 65 Tillvarataget 10
4 NA 13 51 och 24
4 NA 14 66 Diverse. 45
5 NA 0 67 Hos 0
5 NA 1 68 k. 31
5 NA 2 69 : 31
5 NA 3 70 ha 32
5 NA 4 71 delegerade 14
5 NA 5 72 för 14
5 NA 6 73 bästutställningskommittéen 4
5 NA 7 74 -Stockholm, 4
5 NA 8 75 Svenska 10
5 NA 9 76 trafsällskapet, 0
5 NA 10 77 Stockholms 31
5 NA 11 78 kapplöpningssällskap 32
5 NA 12 79 ooh 14
5 NA 13 80 Sto 17
5 NA 14 81 ekholms 23
5 NA 15 82 fältridtklubb 32
5 NA 16 83 gjort 17
5 NA 17 84 c-n 14
5 NA 18 85 gemensam 32
5 NA 19 86 ansökan 32
5 NA 20 87 om 16
5 NA 21 88 tillstånd 0
5 NA 22 89 att 17
5 NA 23 90 innevarande 10
5 NA 24 1 år 16
5 NA 25 91 anordna 10
5 NA 26 92 lotteri 10
5 NA 27 93 å 4
5 NA 28 94 häatar, 4
5 NA 29 95 hvilken 14
5 NA 30 86 ansökan 32
5 NA 31 96 är 16
5 NA 32 97 undertecknad 10
5 NA 33 98 af 16
5 NA 34 99 bl. 26
5 NA 35 100 a. 31
5 NA 36 101 prins 0
5 NA 37 102 Carl. 10
5 NA 38 103 Öfver 10
5 NA 39 104 denna 14
5 NA 40 105 ansökning 45
5 NA 41 106 liar 16
5 NA 42 68 k. 31
5 NA 43 107 m:t 27
5 NA 44 108 infordrat 25
5 NA 45 109 öfvemtåthå 14
5 NA 46 110 1 4
5 NA 47 111 lareäimbetets 0
5 NA 48 112 utlåtande, 4
5 NA 49 51 och 1
5 NA 50 113 detta 14
5 NA 51 114 blef 0
5 NA 52 115 går 15
5 NA 53 116 middag 27
5 NA 54 117 färdigt 32
5 NA 55 72 för 16
5 NA 56 118 expedition. 1
5 NA 57 119 Öfverståthållareämbetet 32
5 NA 58 120 erinrar 45
5 NA 59 121 till 14
5 NA 60 122 en 16
5 NA 61 123 början 0
5 NA 62 124 hurusom 19
5 NA 63 125 tre 4
5 NA 64 98 af 1
5 NA 65 126 de 26
5 NA 66 127 förstnämnda 1
5 NA 67 128 korporationerna 45
5 NA 68 129 förra 26
5 NA 69 130 året 32
5 NA 70 131 livar 0
5 NA 71 72 för 16
5 NA 72 132 sig 14
5 NA 73 133 erhållit 16
5 NA 74 88 tillstånd 0
5 NA 75 121 till 16
5 NA 76 134 anordnande 10
5 NA 77 98 af 16
5 NA 78 135 hästlotterier. 0
5 NA 79 136 Enligt 27
5 NA 80 137 sökandenas 31
5 NA 81 138 uppgift 45
5 NA 82 139 hade 14
5 NA 83 126 de 14
5 NA 84 140 särskilda 0
5 NA 85 141 lotterierna, 14
5 NA 86 142 som 16
5 NA 87 143 sålunda 32
5 NA 88 144 med 13
5 NA 89 145 stöd 48
5 NA 90 146 al 0
5 NA 91 113 detta 14
5 NA 92 88 tillstånd 0
5 NA 93 147 ägt 32
5 NA 94 148 rum, 4
5 NA 95 149 ehuru 19
5 NA 96 126 de 26
5 NA 97 150 stort 32
5 NA 98 151 Bed 32
5 NA 99 139 hade 14
5 NA 100 152 samma 1
5 NA 101 153 nationella 16
5 NA 102 154 uppgift, 4
5 NA 103 155 ledb 19
5 NA 104 121 till 14
5 NA 105 156 ©n 14
5 NA 106 157 ofrivillig, 17
5 NA 107 158 men 14
5 NA 108 159 dock 19
5 NA 109 160 icke 14
5 NA 110 161 mindra 45
5 NA 111 162 skadlig 45
5 NA 112 163 konkurrens 19
5 NA 113 164 vid 48
5 NA 114 165 lo 32
5 NA 115 166 Utförsäljningen. 10
5 NA 116 167 Det 1
5 NA 117 168 har 16
5 NA 118 169 därför 19
5 NA 119 170 ansetts 45
5 NA 120 171 lämpligt 16
5 NA 121 172 att, 19
5 NA 122 121 till 14
5 NA 123 173 afhjälpand© 45
5 NA 124 98 af 16
5 NA 125 113 detta 14
5 NA 126 174 missförhållande, 15
5 NA 127 175 hästlotterierna 45
5 NA 128 176 hufvudstaden 4
5 NA 129 177 anordnades 16
5 NA 130 146 al 0
5 NA 131 122 en 16
5 NA 132 178 utaf 0
5 NA 133 179 nämnda 4
5 NA 134 180 fyra 27
5 NA 135 181 korporationer 0
5 NA 136 182 utsedd 0
5 NA 137 183 delegation 26
5 NA 138 51 och 16
5 NA 139 143 sålunda 32
5 NA 140 184 enhetlig 0
5 NA 141 185 ledning. 10
5 NA 142 39 I 14
5 NA 143 186 likhet 32
5 NA 144 144 med 14
