#doc source pos typeindex type topic
0 NA 0 0 är 1
0 NA 1 1 för 38
0 NA 2 2 knappast 7
0 NA 3 3 begripligt 7
0 NA 4 4 längden 7
0 NA 5 5 upptog 7
0 NA 6 6 riktning 10
0 NA 7 7 sörviksmalet 12
0 NA 8 8 när 38
0 NA 9 9 vådor 12
0 NA 10 10 upplyser 12
0 NA 11 11 prestation 1
0 NA 12 12 de 31
0 NA 13 13 strokirk 7
0 NA 14 14 med 1
0 NA 15 15 förhållannog 7
0 NA 16 16 får 38
0 NA 17 17 frisinnade 12
0 NA 18 18 sig 1
0 NA 19 19 unga 10
0 NA 20 20 vissa 31
0 NA 21 21 samhället 40
0 NA 22 22 att 38
0 NA 23 23 öa 12
0 NA 24 24 tyokes 7
0 NA 25 25 tid 38
0 NA 26 26 diskussionen 7
0 NA 27 27 föreningen 7
0 NA 28 28 alltså 12
0 NA 29 29 farligt 7
0 NA 30 30 domare 7
0 NA 31 31 det 1
0 NA 32 32 hålla 7
0 NA 33 33 arbetet 10
0 NA 34 0 är 1
0 NA 35 1 för 38
0 NA 36 34 en 38
0 NA 37 35 af 40
0 NA 38 36 denna 49
0 NA 39 37 som 1
0 NA 40 38 icke 1
0 NA 41 39 surt 7
0 NA 42 40 halterna 12
0 NA 43 41 om 38
0 NA 44 42 botemedel 1
0 NA 45 43 arbetskraft 7
0 NA 46 31 det 1
0 NA 47 44 och 10
0 NA 48 45 vara 1
0 NA 49 46 särskildt 40
0 NA 50 47 felaktig 12
0 NA 51 48 albetsproduktens 7
0 NA 52 49 vunna 7
0 NA 53 50 äfven 1
0 NA 54 51 gång 34
0 NA 55 52 från 38
0 NA 56 53 mängden 31
0 NA 57 54 ett 10
0 NA 58 1 för 38
0 NA 59 55 man 29
0 NA 60 56 dagen 29
0 NA 61 57 öfver 10
0 NA 62 12 de 31
0 NA 63 58 amerrka 10
0 NA 64 59 goda 7
0 NA 65 12 de 31
0 NA 66 60 tämrgen 7
0 NA 67 61 nin 7
0 NA 68 35 af 40
0 NA 69 62 rätt 31
0 NA 70 18 sig 1
0 NA 71 63 längst 38
0 NA 72 64 ds 1
0 NA 73 65 där 10
0 NA 74 66 följ 12
0 NA 75 67 reglemen 31
0 NA 76 68 bli 31
0 NA 77 69 nödvändigheten 31
0 NA 78 70 litiken 7
0 NA 79 71 faran 7
0 NA 80 72 så 31
0 NA 81 73 ned 12
0 NA 82 74 sannngen 7
0 NA 83 75 ej 10
0 NA 84 76 handelsvara 1
0 NA 85 22 att 10
0 NA 86 77 vanliga 7
0 NA 87 78 lönerna 31
0 NA 88 79 konkurrensen 19
0 NA 89 80 inbördes 7
0 NA 90 62 rätt 31
0 NA 91 81 resultaten 19
0 NA 92 82 kunnat 31
0 NA 93 83 stockholm 15
0 NA 94 84 analys 12
0 NA 95 85 lägsta 15
0 NA 96 86 fall 23
0 NA 97 87 ändrade 7
0 NA 98 12 de 31
0 NA 99 88 besattes 7
0 NA 100 89 problem 7
0 NA 101 18 sig 1
0 NA 102 90 lution 15
0 NA 103 91 aibetgifvaren 31
0 NA 104 92 felaktiga 10
0 NA 105 93 föreståndarna 15
0 NA 106 94 än 7
0 NA 107 95 minimilön 7
0 NA 108 96 fagerström 7
0 NA 109 97 behofvet 29
0 NA 110 98 finns 31
0 NA 111 99 gjför 7
0 NA 112 100 nu 10
0 NA 113 34 en 38
0 NA 114 101 alltefter 15
0 NA 115 102 stationerna 38
0 NA 116 103 keiidska 15
0 NA 117 104 sjunker 7
0 NA 118 100 nu 10
0 NA 119 1 för 38
0 NA 120 105 dessa 7
0 NA 121 106 utsträckt 40
0 NA 122 107 har 1
0 NA 123 108 sitt 1
0 NA 124 109 kan 38
0 NA 125 110 kom 1
0 NA 126 111 dock 40
0 NA 127 12 de 31
0 NA 128 112 sida 10
0 NA 129 113 fackföreningsobeaktad 7
0 NA 130 114 hvaraf 1
